Name;ID;Content;Comments;Retweet;Likes
Steban Lebret;MrLebret91;"En Medellín terminamos bailando en las calles, casi 1 a.m. del #23N 
Y atreviendome a decir: es la manifestación hasta más tarde de todo Colombia.
No ha habido un solo acto de violencia.
Si los medios no lo dicen, yo lo tenia que decir.
#23NParoNacional pic.twitter.com/rpJAUXo0h9";1;55;146
Mauro Ortiz;Mrspitfire75;debemos salir a marchar!!! No nos pidan callar no nos podrán amedrentar!!!;;11;24
Juan David Ortiz F.;JuanOrtizfr;"Hola, @IvanDuque, ¿ya viste que @el_pais piensa que no es verdad que ""este es un gobierno que escucha""? Y que el rey te manda muchas saludes. Que te quiere mucho.  #23NParoNacional pic.twitter.com/b8lyxa6MFW";;33;77
Fernanda.;Fherguson_;Firmes que El Paro Debe Seguir Paro Nacional No Tenemos Miedo a exigir un cambio a las calles vamos;1;34;53
Hernan Contreras;hernandcr;A esta hora 6am en el portal sur de Bogota. ;8;52;156
LARGO LEITER;LARGOLEITER;"Se te va a caer la estantería 
Tu porcina marioneta, te cagó el caminado y vas a ser víctima de tu propio invento, querían meter miedo, la cagaron, nos metieron fue ganas, tantas que hoy nos vamos a requete enrumbar protestando, todos bienvenidos
#rumbaalparo
#23NParoNacional pic.twitter.com/kmcgI3J3Ot";1;13;46
cl4ud14;cl4ud143;Paro Nacional nos volvemos a encontrar con nuestros vecinos 8:00pm en el tercer día del cacerolazo, ¡¡Porque Colombia se cansó!!! pic.twitter.com/SulMGbnxQA;;9;15
#yoparoel21N;KevinCamelo13;"22 de noviembre: el falso positivo más grande en la historia de Colombia.
RT   #23NParoNacional  #23N";;;2
FDPE;fdparedese;El miedo es un instrumento que tiene su la fecha del vencimiento, cuando un pueblo se levanta y pelea por su dignidad!!! #23NParoNacional #23novembrepic.twitter.com/dmNZj6M0KH;1;11;14
Natalia ?;Natalia_Lvcd;Lo que paso anoche es lo que ha pasado los ultimos casi 20 años en el país, nos trabajan con el miedo... NO MÁS #23NParoNacional;;9;23
Wisbu;Wisbu1;Esto si es un mensaje claro, el gobierno sólo se enfocó en el vandalismo gestionado por el mismo #23NParoNacional  https://youtu.be/qn7g3HlYwIM ;;1;3
@AdelitaSM;adelitaSM;"¿Hoy cómo nos vamos a movilizar?

#23NParoNacional";16;93;320
Abeja de la Resistance  ?? ??;AAguacatera;"La bacrim del esmad se burla en nuestras caras... Les vamos a comer de cuento??

#23NParoNacional 
#23NElParoSiguehttps://twitter.com/gener_usuga/status/1198128803475800064 …";2;5;7
Juan.;JuanMadero_SF;"Buenos días para recordarles que #ElParoSigue #23NParoNacional

Ahh y también que:

TODO ES UN MONTAJE DEL ESTADO
TODO ES UN MONTAJE DEL ESTADO
TODO ES UN MONTAJE DEL ESTADO
TODO ES UN MONTAJE DEL ESTADO
TODO ES UN MONTAJE DEL ESTADO
TODO ES UN MONTAJE DEL ESTADO";1;29;65
cs viva el paro  ?;CarlosSancheB;"RESISTENCIA
RESISTENCIA
RESISTENCIA
#23NParoNacional
#ParoNacionalColombiapic.twitter.com/I4yfo9RhoL";2;8;7
Andrés Trece;AndrsTrece;Se alborotó la cuyera.;1;10;50
Camila Dìaz;Soycamiloxp;Quieren el pueblo cansado, pero no vamos a desistir #23NParoNacional;;2;13
C A R O ??;R_Salcedo_;"Y en la noticias que van a decir? 
Que se les robaron los uniformes, que no eran ellos?
O simplemente como con toda la verdad, solo la ignoran.
#23NParoNacional 
#ElParoSigue 
#ElParoTieneQueSeguirhttps://twitter.com/El_AlienMedallo/status/1198101585936748544 …";;22;27
Valentina. ??;metroymedio4;"Solo intentan llenarnos de miedo y colapsar nuestras mentes para olvidar realmente el sentido de lo que el pueblo quiere lograr pero se equivocan porque el pueblo sigue resistiendo. 
#ElParoSigue #23NParoNacional";;4;13
Rommel Stiward Prieto;stiw_p;"Paro Nacional ya estamos aquí, esto ya empezó.
Todo el pueblo va a ser escuchado, y lo que pase en este país se hará a voluntad de todos, no de unos pocos.
#ParoNacionalColombia";1;;6
Ángela Perversa;AngelaPerversa;"Saqueos en los que no se roban nada más que la tranquilidad y parecen justificar la presencia militar, el toque de queda.
¿Qué hay que hacer?
Seguir manifestándose pacíficamente, con su cacerola, desde su casa. A las 6:00, a las 9:00.
No nos dejemos amedrentar.

#23NParoNacional";2;21;40
Ariza Bryan;CrsBrayan;Nos quisieron hacer un circo , sin saber que somos los dueños ;;2;8
Felipe Ordoñez;Pipe2796;"A qué hora es que se acaba el teatro este que montaron...Es que tenemos que dormir y todo su falso terror ya nos aburrió...Dejen de pasear ""vándalos"" en camiones que ya nos dimos cuenta. Gracias #TrabajenVagos #23NParoNacional";1;2;12
Natalia Gómez;nathaggomez;"Sin mente como el presidente a parar para avanzar, viva el paro Nacional! 
#ElParoDebeSeguir #23NParoNacional #ElParoContinuapic.twitter.com/ivHpNq7y31";1;16;44
???????????? ??????????????;jaider_aguilar9;"No permitan que el miedo los invada y mucho menos por un gobierno corrupto y sin criterio, Que lo único que logra es provocar el caos y la violencia día tras día, Apoyemos nuestra patria y defendamos nuestros derechos.

""El pueblo es superior a sus dirigentes""

#23NParoNacional pic.twitter.com/RjKMQ4c3LQ";;1;
Melisandre.;aycaramb;"Balance de la alerta: 
Mis vecinos son una chimba!  #ElParoSigue #23NParoNacional";1;;1
Lu;Luiyifer;"¡Sigamos sin miedo!
#23NParoNacional https://twitter.com/MadameSiimone/status/1198123282194739201 …";;2;6
Danna Medina.;DannaaMedina;"Bogotá ahora mismo:

#23NParoNacional #Bogotadespierta #Empezandoeldía. :D
@CamiloCS16pic.twitter.com/pzbUY5jpmn";;6;29
Jonathan Jay Zuñiga;jaycoach;Esto no termina!!! ;;2;7
Mila92;MilPM1;"@IvanDuque @mluciaramirez  aparte de todos los videos probatorios, déjeme decirle que ni para director del circo sirve usted, es mejor que sea el payaso porque no sirve para dirigir absolutamente nada... @PoliciaBogota regalados de 
#resistenciacolombia
#";;4;8
Mauro Ortiz;Mrspitfire75;Jueputa tacaron burro esta vez!!! ;;1;4
.;xlmamia;"TODO ES UN MONTAJE DEL ESTADO
#RenuncieDuque #ElParoSigue #TeoriadelPanico #23NParoNacional";;1;3
Camilo Gomez;gomez_acr;"""Cucarachas alabando insecticidas"" ";;;8
 ?? YOPELEO²¹N;terricola42;Vivo en un barrio popular, y debo aceptar que me asusté mucho en algún momento hasta que me dí cuenta que es miedo lo que nos quieren meter. ~ RESISTENCIA ~ #ElParoSigue #ElParoDebeSeguir #ElParoTieneQueSeguir #NoNosCallamosMas #23NParoNacional pic.twitter.com/hdZhtNQhE4;;;
Laura ????;nathalaura_14;"DIFUNDAN! 

TODO ES UN MONTAJE DEL ESTADO
TODO ES UN MONTAJE DEL ESTADO

#23N #23NParoNacional";;1;1
MalteadaVeneno;MalteadaVeneno;Paro Nacional y así hasta el infinito si quieren. O nos respetan o nos respetan.;;1;2
Alejo Torres  ?? ??;Bryant_Torres7;"Duque, Duque 
Ra, Ra, Rascame Una Gueva, Que Tengo Comezón. Primero Lo Primero, Salud Y Educación...  @IvanDuque @IvanDuque  #ElParoSigue #23NParoNacional";;;3
Claudia;yoclauuudia;Ivanchis, para mañana es tarde nos vale tres que tengas otras cosas que hacer #23NParoNacional https://twitter.com/ivanduque/status/1198041674049630210 …;;2;
Steban Lebret;MrLebret91;"Vecinos, sepan disculpar si el escándalo que hago con mi cacerola les molesta, a mi me molesta más su silencio.
#23NParoNacional 
#23Npic.twitter.com/aq49dlklTT";;5;13
