Name;ID;Content;Comments;Retweet;Likes
teleSUR English;telesurenglish;"#Colombia | Medellin also joins the nationwide protest against #IvanDuque’s neoliberal policies. 

#21NSomosTodos #ParoNacionalpic.twitter.com/NTsVLjruVO";5;94;130
melanie¨?;ddaengttan;dr. hill fiona hill #ImpeachingHearings #GymJordanIsAnIdiot #XF13 #21NSomosTodos #DragRaceUK #GHVIPGALA12pic.twitter.com/ns0FGV2i5E;;;
v  ????;deadnxte;Colombia without corruption and Duque and Uribe is a really beautiful concept. Please keep it in mind. #21NSomosTodos;;2;11
Juan Manuel Holguín;juanmholguin;Armenia #ManifestacionPacifica #ParoNacional #21NSomosTodos #MarchaSinCapucha #MarcharEnPazpic.twitter.com/YnuL92iRpq;;2;4
Mónica Bolívar F.  ??;monicabolivarf;;;4;7
Lord Taniro Wisdom Source;DimeTaniro;The Guardian view on artificial intelligence becomes more s….  #21NSomosTodos;;;
CiudadaníasPazColombia;CPazColombia;Sucre #paro21denoviembre #21NSomosTodos #ParoNacionalpic.twitter.com/qYkUxyjN12;;;1
Tasnim;Tasnim77298334;"Watch now live 
#21NSomosTodos #paro21denoviembre #ParoNacionalhttps://twitter.com/BCELORS/status/1197587255985967104 …";;2;5
. ??.;val1sg22;¡Firmes! #21NSomosTodos #ParoNacional pic.twitter.com/UoXutsXuEG;;2;5
Valentina.;mividapoche;We stan. #21NSomosTodos pic.twitter.com/8bCKhTzMLV;;119;391
#MillosSeRespeta;MillonariosEste;"Firmes 
#YoParoEl21NSinMiedo 
#21NSomosTodos pic.twitter.com/DkcFK1mtXr";;50;270
Julian;JulianR_30;#21NSomosTodos CALLE 26 pic.twitter.com/fBIOaMHyuB;1;21;70
MAR  ???  ???? #TodosSomosDylan | oracle of daegu;raconteurmin;"#21NSomosTodos 

“what does reap a country that sows corpses” pic.twitter.com/dIMC2W8JEH";;75;176
MAR  ???  ???? #TodosSomosDylan | oracle of daegu;raconteurmin;"#21Nov #21NSomosTodos 

“Hoy many eyes is going to cost us to open them up?” pic.twitter.com/2qu8ksspJ1";1;55;144
?????  ????;hamfxtz;"Today is a great day for my country, even if you don't care or you don't know what's going on, support the brave Colombians who are standing up to years of missery, lies and poverty. THIS GENERATION TAKES NO BULLSHIT!!
#21NSomosTodos";1;92;207
matt  ????;jiminslate;this is happening in my country, in colombia, the police has the order to attack civilians just because they’re doing a pacific protest #21NSomosTodos pic.twitter.com/J33T8TEpYC;3;9;23
Jhoan_19;ScottWankalot;In my country they kill us for demanding what belongs to us. #21NSomosTodos #YoParoEl21NSinMiedohttps://twitter.com/goldenxlou/status/1197523242380124163 …;2;22;53
